Epoch: 1, Train Loss: 2.222945870299196, Val Loss: 1.860260302745379, Took 0:18:59.940148, ETA: 2:50:59.461332

Epoch: 2, Train Loss: 1.7146703645395107, Val Loss: 1.6821720393804402, Took 0:18:53.258309, ETA: 2:31:06.066472

Epoch: 3, Train Loss: 1.5748179156381172, Val Loss: 1.626206271465008, Took 0:19:06.033343, ETA: 2:13:42.233401

Epoch: 4, Train Loss: 1.4867312137149433, Val Loss: 1.5992258796325096, Took 0:19:03.844855, ETA: 1:54:23.069130

Epoch: 5, Train Loss: 1.4081966443123224, Val Loss: 1.5766713894330537, Took 0:18:52.491408, ETA: 1:34:22.457040

Epoch: 6, Train Loss: 1.3305419907037792, Val Loss: 1.5606482382004077, Took 0:19:02.697794, ETA: 1:16:10.791176

Epoch: 7, Train Loss: 1.2663730408500704, Val Loss: 1.541774354989712, Took 0:19:06.851955, ETA: 0:57:20.555865

Epoch: 8, Train Loss: 1.2092673428068856, Val Loss: 1.5607297191253076, Took 0:19:10.938352, ETA: 0:38:21.876704

Epoch: 9, Train Loss: 1.1492386863211195, Val Loss: 1.5911220284608694, Took 0:19:11.257349, ETA: 0:19:11.257349

Epoch: 10, Train Loss: 1.0926806178471562, Val Loss: 1.6040829557638903, Took 0:14:54.356125, ETA: 0:00:00

